Temperature,Humidity,Holidays    0 for close   1 for open,year,month,day,hour,minute,second,weekday,Load
21,0.796666667,1,2009,1,28,8,0,0,2,42402
25,0.71,1,2009,1,28,9,0,0,2,51649
27,0.666666667,1,2009,1,28,10,0,0,2,56160
28,0.623333333,1,2009,1,28,11,0,0,2,58057
29,0.58,1,2009,1,28,12,0,0,2,57860
30,0.636666667,1,2009,1,28,13,0,0,2,57405
31,0.693333333,1,2009,1,28,14,0,0,2,58061
31,0.75,1,2009,1,28,15,0,0,2,57877
32,0.806666667,1,2009,1,28,16,0,0,2,55752
32,0.863333333,1,2009,1,28,17,0,0,2,47884
30,0.92,1,2009,1,28,18,0,0,2,44471
28,0.926666667,1,2009,1,28,19,0,0,2,47025
26,0.933333333,1,2009,1,28,20,0,0,2,45307
25,0.94,1,2009,1,28,21,0,0,2,37510
24,0.943333333,1,2009,1,28,22,0,0,2,31051
24,0.946666667,1,2009,1,28,23,0,0,2,28945
23,0.95,1,2009,1,29,0,0,0,3,27070
23,0.95,1,2009,1,29,1,0,0,3,25554
23,0.95,1,2009,1,29,2,0,0,3,24525
23,0.95,1,2009,1,29,3,0,0,3,23722
23,0.95,1,2009,1,29,4,0,0,3,23704
22,0.95,1,2009,1,29,5,0,0,3,24232
22,0.95,1,2009,1,29,6,0,0,3,27088
22,0.903333333,1,2009,1,29,7,0,0,3,33227
22,0.856666667,1,2009,1,29,8,0,0,3,42842
24,0.81,1,2009,1,29,9,0,0,3,50626
26,0.766666667,1,2009,1,29,10,0,0,3,56090
28,0.723333333,1,2009,1,29,11,0,0,3,56959
29,0.68,1,2009,1,29,12,0,0,3,56712
30,0.743333333,1,2009,1,29,13,0,0,3,56890
31,0.806666667,1,2009,1,29,14,0,0,3,57301
30,0.87,1,2009,1,29,15,0,0,3,56741
29,0.896666667,1,2009,1,29,16,0,0,3,54410
29,0.923333333,1,2009,1,29,17,0,0,3,47261
28,0.95,1,2009,1,29,18,0,0,3,44883
27,0.953333333,1,2009,1,29,19,0,0,3,47362
26,0.956666667,1,2009,1,29,20,0,0,3,45911
25,0.96,1,2009,1,29,21,0,0,3,36524
24,0.963333333,1,2009,1,29,22,0,0,3,31542
24,0.966666667,1,2009,1,29,23,0,0,3,29206
24,0.97,1,2009,1,30,0,0,0,4,27509
23,0.966666667,1,2009,1,30,1,0,0,4,25836
23,0.963333333,1,2009,1,30,2,0,0,4,24840
23,0.96,1,2009,1,30,3,0,0,4,24148
23,0.963333333,1,2009,1,30,4,0,0,4,23983
23,0.966666667,1,2009,1,30,5,0,0,4,24661
23,0.97,1,2009,1,30,6,0,0,4,27147
23,0.963333333,1,2009,1,30,7,0,0,4,34171
23,0.956666667,1,2009,1,30,8,0,0,4,43412
25,0.95,1,2009,1,30,9,0,0,4,52795
27,0.946666667,1,2009,1,30,10,0,0,4,58640
27,0.943333333,1,2009,1,30,11,0,0,4,59002
29,0.94,1,2009,1,30,12,0,0,4,57869
30,0.943333333,1,2009,1,30,13,0,0,4,57526
30,0.946666667,1,2009,1,30,14,0,0,4,58623
31,0.95,1,2009,1,30,15,0,0,4,58743
30,0.95,1,2009,1,30,16,0,0,4,56341
30,0.95,1,2009,1,30,17,0,0,4,47926
28,0.95,1,2009,1,30,18,0,0,4,46684
27,0.946666667,1,2009,1,30,19,0,0,4,48618
26,0.943333333,1,2009,1,30,20,0,0,4,45749
26,0.94,1,2009,1,30,21,0,0,4,37333
25,0.94,1,2009,1,30,22,0,0,4,32189
25,0.94,1,2009,1,30,23,0,0,4,30115
25,0.94,1,2009,1,31,0,0,0,5,28078
24,0.94,1,2009,1,31,1,0,0,5,26318
24,0.94,1,2009,1,31,2,0,0,5,25107
24,0.94,1,2009,1,31,3,0,0,5,24158
24,0.94,1,2009,1,31,4,0,0,5,24060
24,0.94,1,2009,1,31,5,0,0,5,24707
24,0.94,1,2009,1,31,6,0,0,5,26127
24,0.916666667,1,2009,1,31,7,0,0,5,27331
24,0.893333333,1,2009,1,31,8,0,0,5,31767
25,0.87,1,2009,1,31,9,0,0,5,41953
27,0.846666667,1,2009,1,31,10,0,0,5,46447
28,0.823333333,1,2009,1,31,11,0,0,5,47787
29,0.8,1,2009,1,31,12,0,0,5,46681
29,0.786666667,1,2009,1,31,13,0,0,5,43763
31,0.773333333,1,2009,1,31,14,0,0,5,43446
29,0.76,1,2009,1,31,15,0,0,5,42505
28,0.823333333,1,2009,1,31,16,0,0,5,41959
29,0.886666667,1,2009,1,31,17,0,0,5,41564
28,0.95,1,2009,1,31,18,0,0,5,42958
27,0.95,1,2009,1,31,19,0,0,5,47224
26,0.95,1,2009,1,31,20,0,0,5,46125
26,0.95,1,2009,1,31,21,0,0,5,37552
25,0.953333333,1,2009,1,31,22,0,0,5,32899
25,0.956666667,1,2009,1,31,23,0,0,5,30803
24,0.96,0,2009,1,2,0,0,0,4,28663
24,0.96,0,2009,1,2,1,0,0,4,27073
24,0.96,0,2009,1,2,2,0,0,4,25889
24,0.96,0,2009,1,2,3,0,0,4,25152
24,0.953333333,0,2009,1,2,4,0,0,4,24352
24,0.946666667,0,2009,1,2,5,0,0,4,24517
24,0.94,0,2009,1,2,6,0,0,4,25399
24,0.896666667,0,2009,1,2,7,0,0,4,25271
24,0.853333333,0,2009,1,2,8,0,0,4,27570
26,0.81,0,2009,1,2,9,0,0,4,36408
27,0.75,0,2009,1,2,10,0,0,4,41259
28,0.69,0,2009,1,2,11,0,0,4,42152
29,0.63,0,2009,1,2,12,0,0,4,41315
29,0.663333333,0,2009,1,2,13,0,0,4,41327
31,0.696666667,0,2009,1,2,14,0,0,4,41073
29,0.73,0,2009,1,2,15,0,0,4,40958
29,0.793333333,0,2009,1,2,16,0,0,4,40469
29,0.856666667,0,2009,1,2,17,0,0,4,40988
28,0.92,0,2009,1,2,18,0,0,4,42484
27,0.923333333,0,2009,1,2,19,0,0,4,46324
26,0.926666667,0,2009,1,2,20,0,0,4,45705
25,0.93,0,2009,1,2,21,0,0,4,37023
25,0.936666667,0,2009,1,2,22,0,0,4,31944
24,0.943333333,0,2009,1,2,23,0,0,4,28929
24,0.95,1,2009,2,2,0,0,0,0,26988
23,0.95,1,2009,2,2,1,0,0,0,25532
23,0.95,1,2009,2,2,2,0,0,0,24529
23,0.95,1,2009,2,2,3,0,0,0,23951
22,0.946666667,1,2009,2,2,4,0,0,0,23911
22,0.943333333,1,2009,2,2,5,0,0,0,24687
22,0.94,1,2009,2,2,6,0,0,0,27678
22,0.853333333,1,2009,2,2,7,0,0,0,34814
22,0.766666667,1,2009,2,2,8,0,0,0,46294
25,0.68,1,2009,2,2,9,0,0,0,55712
27,0.633333333,1,2009,2,2,10,0,0,0,61025
28,0.586666667,1,2009,2,2,11,0,0,0,62721
30,0.54,1,2009,2,2,12,0,0,0,62157
31,0.56,1,2009,2,2,13,0,0,0,61342
32,0.58,1,2009,2,2,14,0,0,0,61966
32,0.6,1,2009,2,2,15,0,0,0,61783
32,0.706666667,1,2009,2,2,16,0,0,0,59024
30,0.813333333,1,2009,2,2,17,0,0,0,51161
30,0.92,1,2009,2,2,18,0,0,0,48455
28,0.93,1,2009,2,2,19,0,0,0,49868
26,0.94,1,2009,2,2,20,0,0,0,48480
26,0.95,1,2009,2,2,21,0,0,0,38574
25,0.95,1,2009,2,2,22,0,0,0,33228
24,0.95,1,2009,2,2,23,0,0,0,30046
23,0.95,1,2009,3,2,0,0,0,0,27497
